id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
276250848,9229325045790,"Với thiết kế thanh lịch, công nghệ mạnh mẽ và tính năng bảo mật cao, Samsung Galaxy A06 mang đến trải nghiệm đỉnh cao.Màn hình lớn 6.7 inch, camera 50 MP tinh xảo và thời lượng pin dài lâu giúp thiết...",2270000,2390000,,120000,5,5,,available,,1000,1000,,18802,Samsung
274101262,6477332696485,"Samsung Galaxy Tab A9 Plus – Hiệu suất vượt trộiNằm trong phân khúc tầm trung, Galaxy Tab A9 Plus không đi kèm trái tim khủng như Galaxy S9 nhưng vẫn đem đến hiệu năng vượt trội so với đối thủ cùng p...",3750000,5990000,,2240000,37,77,,available,,1000,1000,,18802,Samsung
277063012,5671147042438,"Galaxy S25 - Cánh tay đắc lực AI- Now Brief: Đưa ra các đề xuất được cá nhân hoá dựa trên phân tích thông minh về lịch trình riêng, sở thích và mục tiêu cá nhân.- Seamless Actions across Apps: Ra câu...",18990000,22990000,,4000000,17,1,,available,,1000,1000,,18802,Samsung
273947792,1790024126641,Điện thoại Samsung Galaxy S24 Ultra 5G- Hàng chính hãngMàn hình với độ sáng thích ứng lớn nhất lên đến 2600 nitMặt kính Corning Gorilla Armor giúp giảm phản xạ và cải thiện độ sắc nét của hình ảnh...,20990000,34490000,,13500000,39,16,,available,,1000,1000,,18802,Samsung
276250878,9774202688539,"Màn hình rộng lớn, trải nghiệm tối ưuGalaxy A06 được trang bị kích thước màn hình 6.7 inch thuộc phân khúc lớn, giúp tối ưu hóa trải nghiệm giải trí như xem phim, chơi game hay đọc sách điện tử dễ dà...",2320000,3490000,,1170000,34,24,,available,,1000,1000,,18802,Samsung
277409699,2851926928911,...,16990000,16990000,,0,0,0,,available,,1000,1000,,17827,Apple
277311630,4530225504340,"Điện Thoại Xiaomi Redmi 14C 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C,ốp lưng, hướng dẫn, cây tháo sim.Hiển thị sống động và bảo vệ tối ưu- Với tấm nền IPS LCD kích ...",3690000,3690000,,0,0,0,,available,,1000,1000,,25422,Xiaomi
277164932,9009073125928,Updating...,590000,590000,,0,0,0,,available,,1000,1000,,18802,Samsung
277164766,7559269983981,"Tốc độ sạc siêu nhanhBộ đổi nguồn 45W là người bạn đồng hành với khả năng sạc nhanh và hiệu quả cao. Được thiết kế với độ chính xác để tích hợp liền mạch với các thiết bị Samsung Galaxy, đảm bảo ...",450000,890000,,440000,49,0,,available,,1000,1000,,18802,Samsung
277063012,5671147042438,"Galaxy S25 - Cánh tay đắc lực AI- Now Brief: Đưa ra các đề xuất được cá nhân hoá dựa trên phân tích thông minh về lịch trình riêng, sở thích và mục tiêu cá nhân.- Seamless Actions across Apps: Ra câu...",18990000,22990000,,4000000,17,1,,available,,1000,1000,,18802,Samsung
274101255,7027695045511,"Thiết kế tinh tế, hợp xu hướngGalaxy Tab A9 được thiết kế nguyên khối với bộ khung kim loại cùng mặt lưng phẳng, góp phần mang đến một tổng thể liền lạc thống nhất. Ngoài ra, mặt lưng này còn được ho...",2490000,3990000,,1500000,38,132,,available,,1000,1000,,18802,Samsung
276614493,8837015340131,"Samsung Galaxy A16 4GB/128GB là chiếc smartphone vừa đẹp vừa mạnh, phù hợp cho mọi nhu cầu từ giải trí đến công việc. Với thiết kế nhỏ gọn, hiện đại, màn hình lớn, camera rõ nét và pin bền, Galaxy A16...",3390000,5090000,,1700000,33,4,,available,,1000,1000,,18802,Samsung
277068413,4153561492439," Galaxy S25 Ultra - Cánh tay đắc lực AI- Now Brief: Đưa ra các đề xuất được cá nhân hoá dựa trên phân tích thông minh về lịch trình riêng, sở thích và mục tiêu cá nhân.- Seamless Actions across Apps...",28990000,33990000,,5000000,15,0,,available,,1000,1000,,18802,Samsung
275618846,2577976732413,"Sở hữu những tính năng hàng đầu trong phân khúc, đi kèm mức giá hợp lý, Samsung Galaxy A34 là “chiến hữu” kề vai sát cánh cùng Gen Z, sẵn sàng cân mọi hoạt động, chinh phục mọi thử thách. Hãy trải ngh...",5800000,6290000,,490000,8,67,,available,,1000,1000,,18802,Samsung
277466537,1329797038676,Điện thoại Samsung Galaxy A36 5G - Awesome Intelligence- Thiết kế tinh xảo và đẳng cấp cùng bộ nhận diện camera mới – Camera Island- Mặt lưng kính cường lực Gorilla Glass 7 và viền màn hình mỏng ấn t...,7890000,7890000,,0,0,0,,available,,1000,1000,,18802,Samsung
277007015,4591311330923,"Chip MediaTek hỗ trợ chiến game ổn địnhMediaTek Helio G99-Ultra 8 nhân trên Redmi Note 14 được sản xuất trên tiến trình 6 nm hiện đại, mang lại hiệu năng ổn định khi chơi các tựa game đồ họa nặng như...",3850000,4990000,,1140000,23,5,,available,,1000,1000,,25422,Xiaomi
276976267,4060416641163,"Bạn đồng hành hoàn hảo hàng ngàyGalaxy Buds FE với thiết kế công thái học nhỏ gọn mang đến trải nghiệm nghe vượt trội. Loại bỏ những tạp âm không mong muốn nhờ công nghệ Chống ồn chủ động (ANC), ...",1690000,1990000,,300000,15,1,,available,,1000,1000,,18802,Samsung
276614493,8837015340131,"Samsung Galaxy A16 4GB/128GB là chiếc smartphone vừa đẹp vừa mạnh, phù hợp cho mọi nhu cầu từ giải trí đến công việc. Với thiết kế nhỏ gọn, hiện đại, màn hình lớn, camera rõ nét và pin bền, Galaxy A16...",3390000,5090000,,1700000,33,4,,available,,1000,1000,,18802,Samsung
276559198,5048296012582,"POCO C75 cấu hình nổi bật với chip Helio G85Theo thông tin từ trang GSMArena, POCO C75 đã đạt chứng nhận FCC với mã model là 2410FPCC5G, đây cũng là phiên bản kế nhiệm của POCO C65 ra mắt vào năm ngo...",2990000,3290000,,300000,9,8,,available,,1000,1000,,406575,POCO
276536922,6703391074991,"Thắng thao mobile cam kếtHàng chính hãng mới 100%Bảo hành 6 tháng phần cứng,12 tháng phần mềmThông số kỹ thuậtMàn hình: OLED, 120Hz, HDR10 6.9 inches,Màn phụ: 1.43 inches, 466 x 466 pixelsHệ điều hà...",4899000,5990000,,1091000,18,4,,available,,1000,1000,,162007,Tecno
276976267,4060416641163,"Bạn đồng hành hoàn hảo hàng ngàyGalaxy Buds FE với thiết kế công thái học nhỏ gọn mang đến trải nghiệm nghe vượt trội. Loại bỏ những tạp âm không mong muốn nhờ công nghệ Chống ồn chủ động (ANC), ...",1690000,1990000,,300000,15,1,,available,,1000,1000,,18802,Samsung
277065642,8882299945728,"Galaxy S25+ - Cánh tay đắc lực AI- Now Brief: Đưa ra các đề xuất được cá nhân hoá dựa trên phân tích thông minh về lịch trình riêng, sở thích và mục tiêu cá nhân.- Seamless Actions across Apps: Ra câ...",22990000,26990000,,4000000,15,1,,available,,1000,1000,,18802,Samsung
276448816,9210012386172,"Tốc độ sạc siêu nhanhBộ đổi nguồn 45W là người bạn đồng hành với khả năng sạc nhanh và hiệu quả cao. Được thiết kế với độ chính xác để tích hợp liền mạch với các thiết bị Samsung Galaxy, đảm bảo...",471000,1190000,,719000,60,16,,available,,1000,1000,,18802,Samsung
277574339,2018136311966,"Mạnh mẽ, tinh tếCủ sạc nhanh mới với tính năng Sạc Siêu Nhanh 25W, dành cho thiết bị tương thích với cáp sạc USB Type-C.*Sạc siêu nhanh (SFC) là công nghệ sạc của Samsung dựa trên Power D...",160000,190000,,30000,16,0,,available,,1000,1000,,18802,Samsung
276515327,7774039598529,"POCO C75 cấu hình nổi bật với chip Helio G85Theo thông tin từ trang GSMArena, POCO C75 đã đạt chứng nhận FCC với mã model là 2410FPCC5G, đây cũng là phiên bản kế nhiệm của POCO C65 ra mắt vào năm ngo...",2690000,3390000,,700000,21,20,,available,,1000,1000,,406575,POCO
276411458,9153107602584,"Cấu hình sản phẩm:Thẻ Sim:2 SIM, 1 esim +1 Nano SIM /5GMàn hình:6.7 inches, IPS LCD, 90HzĐộ phân giải:1080 x 2460 pixels (~396 ppi density)CPU: MediaTek Dimensity 6020 5G 8 nhânRAM: 4GBBộ nhớ: 128GBCa...",3199000,3999000,,800000,20,1,,available,,1000,1000,,25643,OPPO
276410628,2176266770804,"Cấu hình Realme V60 5G?Bạn có thể tham khảo cấu hình Realme V60 ra mắt dưới đây.Thông sốRealme V60Kích thước165,6 x 76,1 x 7,9 mmTrọng lượng192 gMàn hình6,67 inch, IPS LCD,...",2999000,3999000,,1000000,25,1,,available,,1000,1000,,247549,Realme
276250878,9774202688539,"Màn hình rộng lớn, trải nghiệm tối ưuGalaxy A06 được trang bị kích thước màn hình 6.7 inch thuộc phân khúc lớn, giúp tối ưu hóa trải nghiệm giải trí như xem phim, chơi game hay đọc sách điện tử dễ dà...",2320000,3490000,,1170000,34,24,,available,,1000,1000,,18802,Samsung
